# This file contains all data for the mysql table named Cronometer_Food_Mapping
#
#+----------------------+--------------+------+-----+---------+----------------+
#| Field                | Type         | Null | Key | Default | Extra          |
#+----------------------+--------------+------+-----+---------+----------------+
#| cronometer_food_id   | int unsigned | NO   | PRI | NULL    | auto_increment |
#| cronometer_food_name | varchar(100) | NO   |     | NULL    |                |
#| food_id              | int unsigned | NO   | MUL | NULL    |                |
#+----------------------+--------------+------+-----+---------+----------------+
#
# It is used to initialize the Cronometer food mapping data (567 cronometer foods mapped to 93 foods sourced from clark-food and poores-food)
# | used as delimiter as commas are common in cronometer food names
# food_id is the a foreign key to Food
# food_name is not an actual column, just for clarity
# format: cronometer_food_name|food_id|food_name
Bread, Whole-Wheat, Commercially Prepared, Toasted|651|Bread
Bread, Multi-Grain, Includes Whole-Grain|651|Bread
Kellogg's, Raisin Bran|652|Breakfast cereal
Broccoli, Cooked From Fresh|653|Broccoli
Broccoli, Raw|653|Broccoli
Butter, Salted|654|Butter
Butter, without Salt|654|Butter
Cabbage, Raw|655|Cabbage
Capsicum, Red, Cooked|656|Capsicum
Red Capsicum, Raw|656|Capsicum
Green Capsicum, Raw|656|Capsicum
Yellow Capsicum, Raw|656|Capsicum
Capsicum, Green, Cooked|656|Capsicum
Capsicum, Red, Canned|656|Capsicum
Capsicum, Yellow, Cooked|656|Capsicum
Carrots, Raw|657|Carrots
Carrots, Cooked From Fresh|657|Carrots
Cashews, Raw|658|Cashews
Cashews, Dry Roasted, Salted|658|Cashews
Cashews, Dry Roasted, Unsalted|658|Cashews
Cashews, Oil Roasted, Salted|658|Cashews
Cashews, Oil Roasted, Unsalted|658|Cashews
Cashews, Oil Roasted, Lightly Salted|658|Cashews
Cauliflower, Raw|659|Cauliflower
Cauliflower, Cooked from Fresh|659|Cauliflower
Cereal Bar|660|Cereal bars
Cereal Bar, Low Fat|660|Cereal bars
Cheese, Cheddar|661|Cheese
Feta Cheese|661|Cheese
Brie Cheese|661|Cheese
Chia Seeds|662|Chia seeds
Chicken Breast, Skinless, Cooked|663|Chicken
Chicken Thigh, Skin Removed|663|Chicken
Chickpeas, Canned, Drained and Rinsed|664|Chickpeas
Chickpeas, Boiled without Salt|664|Chickpeas
Chickpeas, Canned, Drained|664|Chickpeas
Cider|665|Cider
Coconut Milk, Plain or Original, Not Fortified, Typically Used in Cooking|666|Coconut milk
Coconut Milk, Plain or Original, Fortified|666|Coconut milk
Coconut milk|666|Coconut milk
Coconut Oil|667|Coconut oil 
Oil, Coconut|667|Coconut oil 
Coffee|668|Coffee
Kellogg's, Corn Flakes|669|Corn
Corn, Yellow, Canned, Drained|669|Corn
Corn, Yellow, Cooked from Frozen, Whole Kernel|669|Corn
Corn on the Cob, Yellow, Cooked from Fresh|669|Corn
Couscous, Dry|670|Couscous
Couscous, Cooked|670|Couscous
Couscous, Cooked|670|Couscous
Milk, Whole|671|Cow's milk
Milk, 2% Fat, Reduced Fat|671|Cow's milk
Milk, 1 1/2% Fat|671|Cow's milk
Milk, Skim, Fat Free|671|Cow's milk
Milk, 1/2% Fat|671|Cow's milk
Saltine Cracker, Soda Cracker|672|Cracker biscuits
Graham Crackers|672|Cracker biscuits
Nabisco ,Ritz Crackers, Original|672|Cracker biscuits
Damora, Admiral's Quarters, Original Water Crackers|672|Cracker biscuits|672|Cracker biscuits
Cracker Jack, Original|672|Cracker biscuits
Cracker, gluten free|672|Cracker biscuits
Cracker, Flavored or Seasoned|672|Cracker biscuits
Wheat Cracker|672|Cracker biscuits
Potato Chips, Salted|673|Crisps
Cucumber, Raw, With Peel|674|Cucumber
Cucumber, Raw, Without Peel|674|Cucumber
Cheese Substitute, Dairy Free, Almond Based|675|Dairy-free cheese
Cheese Substitute, Dairy Free, Soy Based|675|Dairy-free cheese
Choice, Dairy Free Ice Cream, Chocolate|676|Dairy-free ice cream
Pana, Dairy Free Ice Cream, Salted Caramel|676|Dairy-free ice cream
Choice, Dairy-Free Ice Cream, Heavenly Chocolate|676|Dairy-free ice cream
COYO, Dairy Free Ice Cream, Vanilla Bean|676|Dairy-free ice cream
Dark Chocolate Bar, 70%-85% Cacao|677|Dark chocolate
Dark Chocolate Bar, 45%-59% Cacao|677|Dark chocolate
Dark Chocolate Bar, Sugar Free|677|Dark chocolate
Dark Chocolate Bar, 60%-69% Cacao|677|Dark chocolate
Dark Chocolate Chips, 70%-85% Cacao|677|Dark chocolate
Dark Chocolate Chips, 60%-69% Cacao|677|Dark chocolate
Dark Chocolate Chips, 45%-59% Cacao|677|Dark chocolate
Eggs, Cooked|678|Eggs
Egg as an Ingredient|678|Eggs
Fried Eggs, Whole Egg|678|Eggs
Baked Eggs|678|Eggs
Scrambled Egg, with Salt|678|Eggs
Poached Eggs|678|Eggs
Fish, Battered|679|Fish
Fish, Salmon, Atlantic, Farmed, Raw|679|Fish
Fish Sticks, Patties, or Nuggets, Breaded|679|Fish
Red Fish|679|Fish
Fish, Tilapia, Raw|679|Fish
Cuttle Fish|679|Fish
Fish, Salmon, Pink, Raw|679|Fish
Salmon, Atlantic, Wild, Cooked|679|Fish
Salmon, Smoked|679|Fish
Salmon, King, Cooked|679|Fish
Tuna, Canned, Light, Water Pack, No Salt, Drained|679|Fish
Smoothie, Fruit, Made without Dairy Products|680|Fruit smoothies
Grapes, Raw|681|Grapes
Grapes, Home Canned|681|Grapes
Grapes, Cooked from Fresh, Sweetened|681|Grapes
Grapes, Cooked from Fresh, Unsweetened|681|Grapes
Grapes, American Type, Slip Skin, Raw|681|Grapes
Grapes, Red or Green, European Type, such as Thompson Seedless, Raw|681|Grapes
Grapes, canned, thompson seedless, water pack, solids and liquids|681|Grapes
Ice Cream, Vanilla or Other Flavors, Includes Chocolate Chip|682|Ice cream
Kale, Cooked from Fresh|683|Kale
Kale, Raw|683|Kale
Kiwi Fruit, Green|684|Kiwis
Lamb, Ground|685|Lamb
Lamb Chops, Shoulder, Visible Fat Eaten|685|Lamb
Lamb Chops, Loin, Visible Fat Eaten|685|Lamb
Lamb Chops, Loin, No Visible Fat Eaten|685|Lamb
Lamb Chops, Breast|685|Lamb
Lamb Chops, Rib, Visible Fat Eaten|685|Lamb
Lamb Chops, Rib, No Visible Fat Eaten|685|Lamb
Lamb Chops, Shoulder, No Visible Fat Eaten|685|Lamb
Lamb Chops, Arm, No Visible Fat Eaten|685|Lamb
Lamb Chops, Arm, Visible Fat Eaten|685|Lamb
Lamb Chops, Blade, No Visible Fat Eaten|685|Lamb
Lamb Chops, Blade, Visible Fat Eaten|685|Lamb
Lamb Chops, Sirloin, Visible Fat Eaten|685|Lamb
Lamb Chops, Sirloin, No Visible Fat Eaten|685|Lamb
Lamb Chops, Leg, Center Slice, Visible Fat Eaten|685|Lamb
Lamb Chops, Leg, Center Slice, No Visible Fat Eaten|685|Lamb
Lamb Roast, Leg, No Visible Fat Eaten|685|Lamb
Lamb Roast, Leg, Visible Fat Eaten|685|Lamb
Lamb Roast, Breast|685|Lamb
Lamb Roast, Shoulder, Visible Fat Eaten|685|Lamb
Lamb Roast, Shank or Foreshank, Visible Fat Eaten|685|Lamb
Lamb Roast, Shank or Foreshank, No Visible Fat Eaten|685|Lamb
Lamb Roast, Shoulder, No Visible Fat Eaten|685|Lamb
Lamb Roast, Loin, No Visible Fat Eaten|685|Lamb
Lamb Roast, Rib, Visible Fat Eaten|685|Lamb
Lamb Roast, Arm, No Visible Fat Eaten|685|Lamb
Lamb Roast, Rib, No Visible Fat Eaten|685|Lamb
Lamb Roast, Arm, Visible Fat Eaten|685|Lamb
Lamb Roast, Loin, Visible Fat Eaten|685|Lamb
Lamb Roast, Blade, No Visible Fat Eaten|685|Lamb
Lamb Roast, Crown, No Visible Fat Eaten|685|Lamb
Lamb Roast, Blade, Visible Fat Eaten|685|Lamb
Lamb Roast, Crown, Visible Fat Eaten|685|Lamb
Lamb Roast, Sirloin, No Visible Fat Eaten|685|Lamb
Lamb Roast, Sirloin, Visible Fat Eaten|685|Lamb
Lemons, Raw|686|Lemons
Lentils, Boiled|687|Lentils
Lentils, Raw|687|Lentils
Lettuce, Iceberg|688|Lettuce
Lettuce, Green Leaf|688|Lettuce
Lettuce, Romaine or Cos|688|Lettuce
Lettuce, Red Leaf|688|Lettuce
Lettuce, Mixed Greens|688|Lettuce
Lettuce Wrap, without Dipping Sauce|688|Lettuce
Lettuce, Cos or Romaine, Raw|688|Lettuce
Lettuce, Red Leaf, Raw|688|Lettuce
Lettuce, Green Leaf, Raw|688|Lettuce
Milk Chocolate Bar|689|Milk chocolate
Milk Chocolate Chips|689|Milk chocolate
Carman's, Fruit & Nut Muesli Bars, Classic|690|Muesli
Carmen's, Fruit Free Muesli Bars, Original|690|Muesli
Familia, Swiss, Muesli, No Added Sugar|690|Muesli
Familia, Swiss Muesli, Original Recipe|690|Muesli
Quaker, Muesli, Raisin Date Almond|690|Muesli
Muesli, Commercial, Gluten Free|690|Muesli
Muesli, Commercial, Toasted, Added Dried Fruit, Unfortified|690|Muesli
Mix It, Muesli|690|Muesli
Muesli, Commercial, Toasted, Added Nuts, Unfortified|690|Muesli
Muesli, Commercial, Toasted, Added Dried Fruit & Nuts, Unfortified|690|Muesli
Muesli and Co, Coconut Ginger Granola|690|Muesli
Asda, Muesli|690|Muesli
Coles, Muesli|690|Muesli
